x  y  z 
-1009.242224  -876.965636  376.101867 
-1054.350824  -827.545881  563.949465 
-1065.562425  -820.849403  506.701098 
-1178.828335  -705.741332  450.811319 
-599.671396  -1277.037555  525.629834 
-719.563674  -1158.204390  508.200871 
-835.040645  -1046.563725  405.506306 
-891.662512  -987.868263  449.866316 
-898.643244  -978.859336  404.101665 
-1066.930949  -813.214141  514.308805 
-893.116415  -978.586885  662.887763 
-898.474573  -973.421159  402.095741 
-910.780511  -964.197993  385.944880 
-1030.391388  -841.778345  538.808867 
-1081.002468  -789.923472  474.960411 
-1119.831378  -755.293770  499.096726 
-615.095534  -1251.772699  528.419424 
-673.664769  -1193.098515  530.879801 
-869.832370  -996.286614  387.833636 
-944.929259  -920.631227  589.975006 
-1105.145662  -760.893166  306.007959 
-1110.662741  -759.108886  309.719854 
-721.544126  -1142.176434  480.960584 
-792.911953  -1069.928304  434.738822 
-918.946910  -942.234687  614.466447 
-1064.791329  -800.028787  550.183273 
-1119.725586  -741.251200  452.805234 
-1124.727129  -739.939429  298.786875 
-1129.568846  -735.743439  280.762638 
-589.315259  -1270.483028  529.956613 
-709.334564  -1150.417245  468.174804 
-720.694088  -1137.097287  472.609332 
-733.857499  -1125.079662  709.733074 
-830.398593  -1024.344961  621.454536 
-880.201170  -975.423486  656.407044 
-996.777147  -858.639922  361.804078 
-1024.339478  -833.787027  508.455247 
-1071.394056  -785.382261  531.250241 
-1096.480776  -758.657848  498.571281 
-1113.912834  -744.396002  303.039111 
-1112.263412  -744.767343  455.574999 
-1141.191869  -715.217123  458.066104 
-706.022297  -1145.773613  474.988537 
-710.336240  -1141.310361  484.839673 
-846.136385  -1003.068669  457.451012 
-894.965863  -957.388204  390.871058 
-940.821516  -913.345048  546.942600 
-1006.587618  -846.161160  364.046343 
-1005.063415  -844.940998  362.228722 
-1057.616027  -796.458593  324.207010 
-666.874002  -1177.319667  505.038709 
-670.561412  -1174.412983  503.518381 
-838.050833  -1006.273578  447.946984 
-875.089257  -972.026390  446.412312 
-898.532798  -946.395997  415.985925 
-1014.708995  -831.571872  357.788337 
-1019.899256  -828.322646  547.098661 
-1026.735050  -818.290801  365.274980 
-1067.887954  -780.426854  488.979915 
-1110.111656  -738.078819  507.766967 
-529.950871  -1312.250332  548.833791 
-704.736524  -1133.805439  485.226900 
-809.876337  -1033.457032  410.234579 
-850.376466  -992.139432  590.187215 
-855.692327  -986.678246  452.383283 
-868.728427  -974.718563  418.336209 
-1071.989683  -767.784171  500.498775 
-1153.661735  -689.939494  473.487379 
-598.382319  -1236.699577  527.376030 
-704.026103  -1133.866793  724.543161 
-777.983252  -1056.130519  424.861497 
-818.550210  -1017.234296  421.743986 
-855.050377  -981.065657  432.230927 
-856.945926  -980.172368  432.073157 
-981.197704  -852.261361  324.488932 
-1055.844757  -781.402257  515.516599 
-1137.346310  -699.785861  723.022415 
-569.771921  -1259.175190  499.503814 
-572.387748  -1259.743923  498.236289 
-576.062606  -1252.953593  508.829390 
-706.520445  -1126.003017  447.037690 
-771.518839  -1056.599548  699.373631 
-1039.147116  -789.084561  322.678283 
-1112.435067  -716.868916  296.947155 
-511.889690  -1312.773569  533.071455 
-733.869736  -1088.185709  660.082316 
-830.937571  -991.559856  453.764736 
-859.167470  -966.446190  426.518424 
-892.562738  -933.482917  564.419955 
-1052.844542  -772.154654  320.814492 
-1093.170335  -730.710817  467.522207 
-1133.017270  -693.987603  426.831901 
-1151.511584  -672.453205  424.206595 
-533.017588  -1284.773086  498.683312 
-750.126831  -1071.376035  429.672608 
-756.712328  -1063.544764  421.368765 
-765.342711  -1056.201172  468.462690 
-947.171821  -873.319190  521.060530 
-977.631916  -839.952333  539.414037 
-1060.046603  -758.505050  508.825999 
-1067.667444  -754.077038  512.526323 
-1099.004669  -718.002407  283.478425 
-1106.548344  -714.416471  424.514679 
-1155.007317  -665.855773  442.031196 
-554.561463  -1256.509523  547.011744 
-682.828325  -1131.164724  484.983516 
-689.995908  -1125.916199  704.244770 
-711.768773  -1103.136004  688.678094 
-735.771352  -1076.685377  659.379750 
-775.516692  -1035.891669  409.415405 
-824.268844  -990.476932  632.594767 
-837.279288  -974.791072  442.522794 
-935.625331  -879.065373  332.193798 
-1069.275363  -741.745263  296.758001 
-609.493118  -1198.072323  490.185632 
-690.516546  -1116.570810  731.821374 
-711.860578  -1093.932786  479.426611 
-1017.884779  -792.253958  495.067606 
-1105.245746  -702.953662  319.123472 
-607.988129  -1196.222433  500.840964 
-806.265708  -997.574045  379.711580 
-858.460044  -942.415868  609.509275 
-889.312031  -915.872072  365.219738 
-1048.998898  -754.346840  294.883631 
-1060.946864  -743.011905  459.422537 
-1110.270092  -694.269777  322.211909 
-518.903329  -1276.347616  524.417103 
-686.028122  -1110.894862  709.798360 
-692.135722  -1107.586758  682.024276 
-760.391670  -1039.017734  449.174867 
-879.501241  -916.237609  353.262568 
-1004.451422  -795.425503  474.183522 
-1007.645194  -792.259527  354.885761 
-1034.544973  -763.877697  481.986537 
-1087.701651  -712.157924  308.954029 
-699.383618  -1094.618244  669.115485 
-719.322310  -1071.765667  652.083886 
-894.352208  -897.584612  348.344127 
-930.252516  -864.193535  529.685482 
-1002.416833  -790.845615  819.558014 
-1067.419809  -726.040637  304.530173 
-1078.774363  -712.281212  751.935719 
-1121.680927  -672.351704  712.053373 
-509.371735  -1277.516711  503.219083 
-682.577978  -1102.133921  719.107494 
-687.430376  -1098.456487  696.860828 
-726.449711  -1061.996626  649.341882 
-744.901768  -1042.730396  469.673488 
-825.494230  -961.105440  419.001854 
-857.666132  -929.838302  553.395879 
-865.335237  -923.205705  548.025573 
-1019.983508  -767.721680  477.160531 
-1021.278331  -767.584157  493.523071 
-1056.169993  -728.115647  295.211229 
-1068.105597  -716.298391  299.941955 
-1076.344415  -707.495196  283.360093 
-1090.499157  -698.555092  306.881831 
-1090.452099  -695.039155  460.667899 
-1098.138073  -690.232320  444.664919 
-1101.324392  -686.180469  441.839198 
-1117.253646  -666.929254  709.832560 
-480.307488  -1298.611530  522.524828 
-680.619241  -1102.900474  697.779232 
-700.236610  -1081.650522  696.325836 
-874.073311  -905.693565  565.066897 
-896.770599  -886.381981  593.102112 
-917.524780  -862.211431  371.960628 
-988.393035  -791.567254  488.591138 
-1045.632225  -737.532435  498.490519 
-1053.460805  -726.217931  750.936905 
-450.503477  -1323.221690  547.380384 
-631.170018  -1146.874177  703.953387 
-634.005659  -1140.734667  706.462819 
-654.020322  -1121.932860  701.546916 
-848.180204  -927.694954  556.095497 
-921.382179  -856.286857  547.783660 
-995.281602  -781.875546  514.249565 
-1018.786264  -757.533418  302.451112 
-1113.048827  -664.388694  464.628853 
-478.614754  -1290.172670  536.308824 
-644.721078  -1126.366664  715.320222 
-668.419546  -1100.031942  688.278381 
-866.578574  -905.378423  560.479507 
-871.471531  -899.378922  368.241099 
-874.753584  -894.733194  556.425316 
-925.188684  -842.910548  529.496629 
-993.942353  -777.262373  535.452979 
-1096.001480  -674.515029  711.297439 
-504.713962  -1259.652195  540.612819 
-579.395320  -1187.767255  461.186858 
-742.248407  -1020.320871  675.130071 
-830.596013  -935.092490  598.516618 
-835.673746  -927.111386  369.683324 
-874.434703  -888.057515  405.847925 
-929.840346  -836.736464  506.020324 
-1117.655662  -649.418900  757.437324 
-994.446483  -763.504823  307.500479 
-1066.710874  -690.055825  772.697417 
-577.595664  -1178.903736  475.860866 
-578.517004  -1176.373306  480.219087 
-690.007997  -1064.881019  446.148846 
-748.830533  -1004.255047  402.065806 
-759.083574  -997.312325  387.991859 
-786.843451  -966.048306  642.286739 
-850.339793  -905.221868  408.885885 
-955.018771  -800.234454  512.443970 
-986.106530  -770.009345  488.277374 
-1009.426991  -746.702389  776.752911 
-460.718118  -1288.587544  524.736977 
-569.741279  -1177.093431  463.426316 
-637.184003  -1111.777758  494.062568 
-668.408143  -1081.289969  706.956246 
-690.938514  -1057.215796  464.263221 
-700.853003  -1046.951225  455.102143 
-702.860565  -1042.776623  640.249352 
-736.278225  -1014.364466  688.982310 
-845.399222  -902.846294  406.445862 
-844.436274  -903.441877  413.979089 
-851.076442  -895.800798  411.848868 
-904.968802  -843.514893  325.361222 
-906.209511  -844.311183  329.320487 
-913.492646  -833.318527  518.263341 
-913.849381  -836.672491  518.738547 
-933.429378  -815.877593  528.289734 
-949.239601  -801.044563  504.799311 
-962.146090  -785.050346  528.069007 
-973.031335  -774.852557  293.828027 
-979.356564  -768.576768  313.824750 
-1048.344731  -701.315106  296.343578 
-470.257097  -1274.595117  562.352037 
-715.478637  -1028.626353  437.103927 
-740.486377  -1003.909630  420.711100 
-760.819909  -980.328055  377.717155 
-842.831024  -898.042778  407.464418 
-931.257510  -811.136307  522.940455 
-953.822674  -791.515327  543.574882 
-982.535874  -759.791458  511.530312 
-1050.425516  -692.293234  297.450089 
-1061.081664  -680.643472  708.236659 
-1083.906430  -657.546207  699.998120 
-513.153850  -1222.336518  512.082186 
-521.075321  -1214.176217  488.361796 
-560.134574  -1175.710136  496.182422 
-601.606140  -1135.211511  742.494016 
-830.222691  -905.769937  412.906000 
-882.021280  -857.453595  886.295836 
-970.725445  -764.544232  338.892913 
-969.791103  -765.975236  339.530325 
-976.098485  -758.942637  510.611441 
-977.225288  -759.186328  475.230520 
-982.530071  -756.906434  477.044305 
-982.129357  -756.189979  520.021519 
-981.849830  -756.545435  810.939074 
-987.410137  -749.267374  459.821864 
-1057.913424  -677.975429  710.344405 
-518.896453  -1211.445884  513.826388 
-580.139048  -1152.732962  480.276907 
-880.468939  -853.056733  884.272439 
-905.475149  -827.900019  367.088046 
-940.385501  -792.015104  333.383842 
-987.698139  -746.686753  456.485571 
-1024.370087  -707.539118  478.433680 
-1033.020529  -697.227505  458.054299 
-1037.426906  -696.727550  777.336036 
-519.019150  -1208.221651  518.106576 
-722.356800  -1002.737818  388.649049 
-817.004380  -908.332404  375.656900 
-818.204605  -906.533882  398.629134 
-835.204399  -892.681369  335.145078 
-836.159782  -891.761084  398.862021 
-864.378884  -862.820424  584.309802 
-908.298318  -816.068019  364.580210 
-911.006004  -815.797084  501.530936 
-988.086764  -736.225472  448.174490 
-1018.108348  -706.228995  291.771015 
-495.059604  -1223.617446  507.325850 
-505.410147  -1214.213749  515.437884 
-598.618098  -1124.762234  762.094267 
-646.379617  -1073.588597  447.802390 
-662.130565  -1060.282648  465.348234 
-699.014675  -1020.561141  638.272723 
-702.171835  -1017.444809  687.335106 
-762.922027  -960.012870  617.883685 
-796.429566  -923.468830  623.397007 
-928.060025  -793.782125  510.813780 
-927.707635  -791.334827  501.355282 
-930.609699  -787.997251  475.392166 
-936.027863  -782.962213  478.506432 
-992.862303  -727.709726  480.858793 
-1035.518254  -685.315012  764.276047 
-1045.011929  -674.420366  774.255396 
-564.099938  -1153.536809  711.253568 
-565.712373  -1148.182385  717.626968 
-580.929222  -1132.266094  471.565115 
-707.016934  -1010.256536  659.824330 
-720.647881  -996.410850  379.273166 
-760.921722  -953.107548  596.462580 
-760.555868  -952.465659  645.042330 
-766.349319  -949.601002  624.296025 
-919.568071  -796.445886  515.111985 
-929.778317  -785.958281  486.809080 
-932.918548  -784.589117  330.900242 
-939.468273  -776.558513  879.383201 
-948.098692  -769.435452  316.270311 
-948.830722  -765.629672  477.663521 
-957.575708  -760.475477  801.325866 
-972.880528  -742.811065  317.829657 
-975.950382  -739.632404  764.932164 
-1007.015196  -711.384944  755.943256 
-1008.958901  -706.820851  777.126509 
-1022.351104  -693.102763  320.422570 
-1031.449730  -683.975108  732.621042 
-1054.119067  -664.166207  271.636299 
-1082.559579  -631.860718  416.751280 
-1083.316406  -630.638901  410.551627 
-1093.066121  -620.432573  401.442978 
-558.689936  -1152.644428  511.586588 
-562.283279  -1146.768523  736.255538 
-567.983987  -1144.284449  462.250484 
-570.736455  -1137.762054  463.278316 
-573.578212  -1135.174959  461.507578 
-806.399306  -906.467869  356.831818 
-861.516044  -850.651679  580.573360 
-927.201350  -785.670448  487.183106 
-945.465398  -765.520821  812.306096 
-1001.081677  -706.929038  286.502235 
-1019.202130  -690.266929  726.771822 
-1045.546282  -665.272759  775.287573 
-556.176797  -1150.323159  713.591197 
-567.363444  -1138.118319  716.542322 
-640.883554  -1061.803702  430.887608 
-651.802677  -1055.435093  453.775220 
-658.550484  -1046.190319  429.984626 
-670.849379  -1035.076345  634.639026 
-781.906276  -920.922363  549.703155 
-855.162207  -851.142732  350.561130 
-902.540914  -801.001616  312.334531 
-921.623674  -782.776332  536.489124 
-929.159730  -777.394611  516.684525 
-961.124181  -744.386880  341.021520 
-1016.980360  -686.095036  261.917789 
-1041.425402  -662.983204  443.452658 
-1072.922652  -634.052518  387.171568 
-366.982846  -1332.492352  537.270229 
-472.525047  -1224.518218  512.878888 
-500.152719  -1197.070705  518.556717 
-503.306421  -1194.458850  494.857896 
-512.355021  -1187.315849  527.008298 
-615.522954  -1083.064808  704.211172 
-624.046928  -1075.305023  430.711802 
-654.953274  -1043.138454  666.192123 
-658.732532  -1040.891157  454.144013 
-687.172215  -1011.321804  426.605406 
-746.280787  -951.736283  635.478359 
-828.274778  -871.281106  350.560606 
-829.218577  -870.482854  354.686518 
-896.237637  -804.599856  500.448639 
-899.593444  -799.439239  511.598264 
-912.311271  -786.154151  476.937663 
-925.850765  -773.891088  331.952614 
-925.501445  -773.741313  486.404957 
-926.410372  -774.061723  485.362138 
-923.671890  -775.599613  486.649128 
-922.535586  -774.272566  487.004473 
-923.588351  -773.361307  486.537527 
-926.449088  -771.651312  486.341397 
-935.051620  -765.515482  519.419592 
-1005.127994  -693.423622  316.044165 
-1078.053048  -621.774699  427.376075 
-659.062374  -1032.808095  460.455659 
-687.175539  -1007.176277  661.398491 
-773.523078  -922.189092  401.557271 
-779.376446  -912.474401  396.895034 
-851.796727  -844.347369  891.274226 
-906.466124  -789.569602  355.489105 
-904.159909  -789.529692  525.652866 
-918.874193  -774.724097  490.468771 
-939.183390  -755.055169  509.701321 
-996.145774  -695.613134  431.321743 
-1021.521579  -674.866929  295.736324 
-1019.999442  -674.666180  469.971917 
-1023.589017  -672.569755  409.150990 
-1075.890715  -620.211672  430.945202 
-308.318314  -1381.098797  547.797251 
-415.268268  -1270.690432  530.504539 
-538.243574  -1150.422871  723.320113 
-631.656064  -1056.372975  652.741475 
-681.048742  -1009.402984  406.860106 
-688.466648  -1001.561339  426.415015 
-710.223879  -980.763565  623.779089 
-728.326501  -959.252116  386.298502 
-776.685323  -911.844597  608.394457 
-781.932988  -906.858411  379.063571 
-802.033329  -883.745511  338.665057 
-828.565282  -857.313066  367.735433 
-834.891360  -852.026265  376.395234 
-871.995910  -815.721160  537.998790 
-881.408404  -807.383911  485.923967 
-890.750378  -799.565278  499.638602 
-913.615962  -772.140661  504.227718 
-932.544402  -756.234171  495.139477 
-944.246147  -742.673579  341.155782 
-477.246754  -1205.916423  779.613618 
-488.318252  -1193.082455  767.134388 
-532.152739  -1152.946072  765.358355 
-548.734125  -1135.180150  448.443167 
-681.089717  -1002.886091  419.637323 
-688.579588  -996.942990  436.420322 
-689.176093  -995.931788  444.169449 
-702.389052  -980.128312  446.193237 
-721.276376  -960.841293  627.480650 
-777.987248  -902.419652  413.934747 
-789.451291  -891.495104  392.032039 
-813.414008  -867.281368  389.395668 
-818.351693  -865.659088  329.540749 
-824.086573  -857.429244  367.790071 
-829.788450  -853.610525  369.953924 
-834.875371  -845.933948  384.758330 
-838.983021  -842.048526  338.444429 
-866.381993  -814.053669  347.237474 
-886.784407  -797.816156  499.670622 
-890.367439  -794.114729  522.054724 
-890.064918  -791.526555  521.059454 
-896.534029  -789.171000  492.683687 
-917.126347  -765.753679  498.784323 
-934.696681  -748.519722  332.320167 
-933.524575  -747.272074  837.050324 
-947.114285  -733.374896  303.035303 
-959.091350  -725.284078  294.392908 
-1027.531367  -655.491844  444.226655 
-1041.021968  -640.411644  723.458748 
-321.655638  -1354.307972  603.620742 
-432.597886  -1247.585905  490.800452 
-607.690554  -1072.366302  683.868697 
-635.972291  -1040.499175  692.149308 
-693.053887  -986.320609  400.831500 
-716.376303  -959.234665  648.213221 
-772.810761  -904.325260  368.044536 
-820.340210  -856.460906  361.679141 
-859.392932  -815.902568  511.161521 
-869.924118  -807.259651  872.350535 
-877.993601  -802.082243  526.092856 
-889.966539  -786.013469  523.698501 
-890.947941  -785.843457  534.639399 
-897.357335  -779.774394  532.435802 
